Title;Ingenio;URL;Authors;Abstract
TO ENHANCE CONTINUOUS ESTIMATION OF DISTRIBUTION ALGORITHMS BY DENSITY ENSEMBLES;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000281720400018;"Hong, Y; Li, HL;  (...); Ren, QS";This paper deals with using density ensembles methods to enhance continuous estimation of distribution algorithms. In particular, two density ensembles methods are applied: one is resampling method and the other is subspaces method. In resampling continuous estimation of distribution algorithms, a population of densities are obtained by resampling operator and density estimation operator, and n
Estimation of distribution algorithms without explicit selections;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000227679300015;Munetomo, M;This paper proposes estimation of distribution algorithms without explicit selections by introducing assignment functions in their probabilistic model building process. Estimation of distribution algorithms build a probabilistic model from a selected population of promising solutions, which is employed to generate offsprings of the next generation. Instead employing selections, our model employ
Nonlinear Parameter Estimation via Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000259605300041;Li, J and Jiang, Y;Estimation of Distribution Algorithms (EDAs) is a new heuristic approach having many advantages than traditional Genetic Algorithms. In this work EDAs were applied to solve the sinusoidal parameter identification problem. Experiment results were presented showing the performance of this application.
Subspace estimation of distribution algorithms: To perturb part of all variables in estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000287479200004;"Li, HL; Hong, Y and Kwong, S";Add this journal to your reviewer interest list.  Add Journal|In the traditional estimation of distribution algorithms (EDAs), all the variables of candidate individuals are perturbed through sampling from a probability distribution of promising individuals. However, it may be unnecessary for the EDAs to perturb all variables of candidate individuals at each generation. This is because one variable may be dependent on another variable and all variables ma
Estimation of Distribution Algorithms For Job Schedule Problem;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000272834400002;Li, J and Jiang, Y;Well known job schedule problem is NP-hard in management and operating system. A few of evolution algorithms such as GA have been proposed to approach this kind of problems. At present estimation of distribution algorithms are the leading heuristic algorithms which overcome the defect of tradition GA and reflex more excellent property than others. In this paper effective of EDA are tested by th
Customized Selection in Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000354867200009;"Santana, R; Mendiburu, A and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|Selection plays an important role in estimation of distribution algorithms. It determines the solutions that will be modeled to represent the promising areas of the search space. There is a strong relationship between the strength of selection and the type and number of dependencies that are captured by the models. In this paper we propose to use different selection probabilities to learn the s
Towards Automated Selection of Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000322071400063;Lobo, FG and Lima, CF;This paper discusses automated selection of estimation of distribution algorithms for problem solving. A specific method inspired in the parameter-less GA is proposed. Other alternatives are also briefly mentioned as promising research directions to address the problem.
Analysis and Research Models of the Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000304720100460;Bi, LH and Zhang, SM;The Estimation of Distribution Algorithms (EDAs) is a novel class of evolutionary algorithms which is motivated by the idea of building probabilistic graphical model of promising solutions to represent linkage information between variables in chromosome. Through learning of and sampling from probabilistic graphical model, new population is generated and optimization procedure is repeated until
Cooperative Coevolution and Univariate Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000271691500015;"Vo, C; Panait, L and Luke, S";In this paper, we discuss a curious relationship between Cooperative Coevolutionary Algorithms (CCEAs) and univariate Estimation of Distribution Algorithms (EDAs). Specifically, the distribution model for univariate EDAs is equivalent to the infinite population EGT model common in the analysis of CCEAs. This relationship may permit cross-pollination between these two disparate fields. As an exa
A new initialization procedure for the distributed estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000288253400008;"Muelas, S; Peña, JM;  (...); Robles, V";Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs) are one of the most promising paradigms in today's evolutionary computation. In this field, there has been an incipient activity in the so-called parallel estimation of distribution algorithms (pEDAs). One of these approaches is the distributed estimation of distribution algorithms (dEDAs). This paper introduces a new initialization mechanism for eac
Memetic Algorithms of Graph-Based Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000380559600051;Maezawa, K and Handa, H;This paper constitutes Memetic Algorithms of the graph-based Estimation of Distribution algorithms which have been proposed by us previously. The graph-based EDA employs graph-kernels to estimate the probabilistic distributions of individuals, i.e., graphs. In this paper, a greedy-search is introduced into the graph-based EDA. The experimental results on edge-max and edge-min problems examined
Research and New Development of Application of the Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000272834800001;"Wang, DD; Jiang, Y and Li, JL";The Estimation of Distribution Algorithms (EDAs) is a novel class of evolutionary algorithms which is motivated by the idea of building probabilistic graphical model of promising solutions to represent linkage information between variables in chromosome. Through learning of and sampling from probabilistic graphical model, new population is generated and optimization procedure is repeated until
Estimation-of-Distribution Algorithms for Multi-Valued Decision Variables;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001031455100029;"Ben Jedidia, F; Doerr, B and Krejca, MS";With apparently all research on estimation-of-distribution algorithms (EDAs) concentrated on pseudo-Boolean optimization and permutation problems, we undertake the first steps towards using EDAs for problems in which the decision variables can take more than two values, but which are not permutation problems. To this aim, we propose a natural way to extend the known univariate EDAs to such vari
