year,paper_name
2000,"Feature Subset Selection by Bayesian network-based optimization. Artificial Intelligence, 123(1-2), 157–184"
2000,"Linkage Problem, Distribution Estimation, and Bayesian Networks. Evolutionary Computation, 8(3), 311–340"
2001,Continuous Estimation of Distribution Algorithms with Probabilistic Principal
2001,"Feature subset selection by Bayesian networks  a comparison with genetic and sequential algorithms. International Journal of Approximate Reasoning, 27(2), 143–164"
2001,Feature selection for high-dimensional remote sensing data by Maximum Entropy Principle based optimization
2001,Prototype selection and feature subset selection by estimation of distribution algorithms. A case study in the survival of cirrhotic patients treated with TIPS
2001,Estimation of distribution algorithms- A new evolutionary computation approach for graph matching problems
2001,"Feature subset selection by genetic algorithms and estimation of distribution algorithms. Artificial Intelligence in Medicine, 23(2), 187–205"
2002,Inexact graph matching by means of estimation of distribution algorithms
2002,Evolutionary optimization by distribution estimation with. mixtures of factor Analyzers
2002,Blocked Stochastic Sampling versus Estimation of
2003,Learning Bayesian networks in the space of structures by estimation of distribution algorithms
2003,Learning semi naive Bayes structures by estimation of distribution algorithms
2003,Reinforcement learning estimation of distribution algorithm
2003,An hybrid neural:genetic approach to continuous multi-objective optimization problems
2003,"Fast feature selection using a simple estimation of distribution algorithm  a case study on splice site prediction. Bioinformatics, 19(Suppl 2), ii179–ii188"
2003,"MOPED  A Multi-objective Parzen-Based Estimation of Distribution Algorithm for Continuous Problems. Evolutionary Multi-Criterion Optimization, 282–294"
2004,Real-Coded Bayesian Optimization Algorithm  Bringing the Strength of BOA into the Continuous World
2004,Constrained Optimization Problem Solving Using
2004,Protein folding in 2-dimensional lattices with estimation of distribution algorithms
2004,Voronoi-based estimation of distribution algorithm for multi-objective optimization
2004,Hybrid Estimation of Distribution Algorithm for Multiobjective Knapsack Problem
2004,An Estimation of Distribution Algorithm Based on Maximum Entropy
2004,Empirical investigations on parallelized linkage indentification
2004,On the convergence of a class of estimation of distribution algorithms
2004,"Hybrid estimation of distribution algorithm for global optimization. Engineering Computations, 21(1), 91–107"
2004,History information based optimization of additively decomposed function with constraints
