Title,Ingenio,URL,Authors,Abstract,Year
Estimation of distribution algorithms without explicit selections,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000227679300015,"Munetomo, M","This paper proposes estimation of distribution algorithms without explicit selections by introducing assignment functions in their probabilistic model building process. Estimation of distribution algorithms build a probabilistic model from a selected population of promising solutions, which is employed to generate offsprings of the next generation. Instead employing selections, our model employ",2004
Nonlinear Parameter Estimation via Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000259605300041,"Li, J and Jiang, Y",Estimation of Distribution Algorithms (EDAs) is a new heuristic approach having many advantages than traditional Genetic Algorithms. In this work EDAs were applied to solve the sinusoidal parameter identification problem. Experiment results were presented showing the performance of this application.,2008
Subspace estimation of distribution algorithms: To perturb part of all variables in estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000287479200004,"Li, HL, Hong, Y and Kwong, S","In the traditional estimation of distribution algorithms (EDAs), all the variables of candidate individuals are perturbed through sampling from a probability distribution of promising individuals. However, it may be unnecessary for the EDAs to perturb all variables of candidate individuals at each generation. This is because one variable may be dependent on another variable and all variables may have different saliences even if they are independent. Therefore, only a subset of all variables in EDAs really function at each generation.|This paper proposes a novel class of EDAs, termed as subspace estimation of distribution algorithms (subEDAs), from a new perspective to reduce the space of variables for use in model building and model sampling based on EDAs' performance. In subEDAs, only part of all variables of candidate individuals are perturbed at each generation. Three schemes are described in details to determine which variables should be perturbed at each generation: the random picking method (RP), the majority voting based on the similarity between high quality individuals (MVSH) and the majority voting based on the difference between high quality and low quality individuals (MVDHL). Then, subEDAs + RP, subEDAs + MVSH and subEDAs + MVDHL are tested on several benchmark functions and their algorithmic results are compared with those obtained by EDAs. Our experimental results indicate that subEDAs are able to obtain a comparative result using only a subset of problem variables in the model when compared with traditional EDAs. (C) 2010 Elsevier B. V. All rights reserved.",2011
Estimation of Distribution Algorithms For Job Schedule Problem,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000272834400002,"Li, J and Jiang, Y",Well known job schedule problem is NP-hard in management and operating system. A few of evolution algorithms such as GA have been proposed to approach this kind of problems. At present estimation of distribution algorithms are the leading heuristic algorithms which overcome the defect of tradition GA and reflex more excellent property than others. In this paper effective of EDA are tested by the job scheduling problem and the simulation results are analyzed in details.,2009
Customized Selection in Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000354867200009,"Santana, R, Mendiburu, A and Lozano, JA","Selection plays an important role in estimation of distribution algorithms. It determines the solutions that will be modeled to represent the promising areas of the search space. There is a strong relationship between the strength of selection and the type and number of dependencies that are captured by the models. In this paper we propose to use different selection probabilities to learn the structural and parametric components of the probabilistic graphical models. Customized selection is introduced as a way to enhance the effect of model learning in the exploratory and exploitative aspects of the search. We use a benchmark of over 15, 000 instances of a simplified protein model to illustrate the gains in using customized selection.",2014
Towards Automated Selection of Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000322071400063,"Lobo, FG and Lima, CF",This paper discusses automated selection of estimation of distribution algorithms for problem solving. A specific method inspired in the parameter-less GA is proposed. Other alternatives are also briefly mentioned as promising research directions to address the problem.,2010
Analysis and Research Models of the Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000304720100460,"Bi, LH and Zhang, SM","The Estimation of Distribution Algorithms (EDAs) is a novel class of evolutionary algorithms which is motivated by the idea of building probabilistic graphical model of promising solutions to represent linkage information between variables in chromosome. Through learning of and sampling from probabilistic graphical model, new population is generated and optimization procedure is repeated until the stopping criteria are met. In this paper, the mechanism of the Estimation of Distribution Algorithms is analyzed. Currently existing EDAs are surveyed and categorized according to the probabilistic model they used, then the strengths and weakness and the future perspective of EDAs are concluded.",2012
Cooperative Coevolution and Univariate Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000271691500015,"Vo, C, Panait, L and Luke, S","In this paper, we discuss a curious relationship between Cooperative Coevolutionary Algorithms (CCEAs) and univariate Estimation of Distribution Algorithms (EDAs). Specifically, the distribution model for univariate EDAs is equivalent to the infinite population EGT model common in the analysis of CCEAs. This relationship may permit cross-pollination between these two disparate fields. As an example, we derive a new EDA based on a known CCEA from the literature, and provide some preliminary experimental analysis of the algorithm.",2009
A new initialization procedure for the distributed estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000288253400008,"Muelas, S, Peña, JM, Robles, V","Estimation of distribution algorithms (EDAs) are one of the most promising paradigms in today's evolutionary computation. In this field, there has been an incipient activity in the so-called parallel estimation of distribution algorithms (pEDAs). One of these approaches is the distributed estimation of distribution algorithms (dEDAs). This paper introduces a new initialization mechanism for each of the populations of the islands based on the Voronoi cells. To analyze the results, a series of different experiments using the benchmark suite for the special session on Real-parameter Optimization of the IEEE CEC 2005 conference has been carried out. The results obtained suggest that the Voronoi initialization method considerably improves the performance obtained from a traditional uniform initialization.",2011
Memetic Algorithms of Graph-Based Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000380559600051,"Maezawa, K and Handa, H","This paper constitutes Memetic Algorithms of the graph-based Estimation of Distribution algorithms which have been proposed by us previously. The graph-based EDA employs graph-kernels to estimate the probabilistic distributions of individuals, i.e., graphs. In this paper, a greedy-search is introduced into the graph-based EDA. The experimental results on edge-max and edge-min problems examined in this paper show the effectiveness of the proposed method, i.e., the Memetic Algorithms of the graph-based EDA.",2015
