Title,URL
Estimation of distribution algorithms without explicit selections,https://www.webofscience.com/wos/woscc/full-record/WOS:000227679300015
Nonlinear Parameter Estimation via Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000259605300041
Subspace estimation of distribution algorithms: To perturb part of all variables in estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000287479200004
Estimation of Distribution Algorithms For Job Schedule Problem,https://www.webofscience.com/wos/woscc/full-record/WOS:000272834400002
Customized Selection in Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000354867200009
Towards Automated Selection of Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000322071400063
Analysis and Research Models of the Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000304720100460
Cooperative Coevolution and Univariate Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000271691500015
A new initialization procedure for the distributed estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000288253400008
Memetic Algorithms of Graph-Based Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000380559600051
Research and New Development of Application of the Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000272834800001
Affinity Propagation Enhanced by Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000322137100042
Wrapper discretization by means of estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000250774800006
An Improved Estimation of Distribution Algorithms based on the Minimal Free Energy,https://www.webofscience.com/wos/woscc/full-record/WOS:000339362300210
Decentralized Estimation of Distribution Algorithms for Large Scale Networked Systems,https://www.webofscience.com/wos/woscc/full-record/WOS:000459239503185
Multi-objective Counterfactuals in Bayesian Classifiers with Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:001347210900024
Space complexity of estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000227633700008
Formalization Description of Estimation of Distribution Algorithms Based on Intelligent Computation Framework,https://www.webofscience.com/wos/woscc/full-record/WOS:000259965700113
Classification Scheme of Multi-objective Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000326235303008
The effectiveness of mutation operation in the case of Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000244128500019
Mateda-2.0: Estimation of Distribution Algorithms in MATLAB,https://www.webofscience.com/wos/woscc/full-record/WOS:000281587800001
Estimation of Distribution Algorithms for the Firefighter Problem,https://www.webofscience.com/wos/woscc/full-record/WOS:000417370500008
Does overfitting affect performance in estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000249917300069
A review of message passing algorithms in estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000371310400014
On the convergence of a class of estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000220968200004
An introduction and survey of estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000209360100001
Porting Estimation of Distribution Algorithms to the Cell Broadband Engine,https://www.webofscience.com/wos/woscc/full-record/WOS:000283210200005
Extending a class of continuous estimation of distribution algorithms to dynamic problems,https://www.webofscience.com/wos/woscc/full-record/WOS:000261234500014
Estimation of Distribution Algorithms with Graph Kernels for Graphs with Node Types,https://www.webofscience.com/wos/woscc/full-record/WOS:000402759400018
On the model updating operators in univariate estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000376763500012
Negative Correlation Learning in the Estimation of Distribution Algorithms for Combinatorial Optimization,https://www.webofscience.com/wos/woscc/full-record/WOS:000327168600010
Introducing the Mallows Model on Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000306990600054
Estimation of Distribution Algorithms with Fuzzy Sampling for Stochastic Programming Problems,https://www.webofscience.com/wos/woscc/full-record/WOS:000586604200001
Efficiency enhancement of estimation of distribution algorithms by a compressed tournament selection,https://www.webofscience.com/wos/woscc/full-record/WOS:000334211500040
Estimation of Distribution Algorithms (EDA) to Realize the Motion Planning of Space Robot,https://www.webofscience.com/wos/woscc/full-record/WOS:000397331301129
Triangulation of Bayesian networks with recursive estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000264713200007
Bivariate Estimation-of-Distribution Algorithms Can Find an Exponential Number of Optima,https://www.webofscience.com/wos/woscc/full-record/WOS:000605292300093
Understanding the Treatment of Outliers in Multi-Objective Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000354873200029
Enhancement of continuous estimation of distribution algorithms by density ensembles,https://www.webofscience.com/wos/woscc/full-record/WOS:000310311200002
Estimation of Distribution Algorithms as Logistic Regression Regularizers of Microarray Classifiers,https://www.webofscience.com/wos/woscc/full-record/WOS:000266932600003
Structure Learning of Bayesian Networks by Estimation of Distribution Algorithms with Transpose Mutation,https://www.webofscience.com/wos/woscc/full-record/WOS:000323803500012
Bivariate estimation-of-distribution algorithms can find an exponential number of optima,https://www.webofscience.com/wos/woscc/full-record/WOS:001052075800001
Message Passing Methods for Estimation of Distribution Algorithms Based on Markov Networks,https://www.webofscience.com/wos/woscc/full-record/WOS:000350036700038
Variable Screening for Reduced Dependency Modelling in Gaussian-based Continuous Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000312859302044
Population Sizing for Entropy-based Model Building in Discrete Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000268226900113
From Understanding Genetic Drift to a Smart-Restart Mechanism for Estimation-of-Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:001111534000001
Adaptive Variance Scaling in Continuous Multi-Objective Estimation-of-Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000268226900100
Drift and scaling in estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000227633700007
Software reliability prediction model based on support vector regression with improved estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000329457400010
Estimation of distribution algorithms for the computation of innovation estimators of diffusion processes,https://www.webofscience.com/wos/woscc/full-record/WOS:000642357500026
Comprehensive characterization of the behaviors of estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000361856400007
Critical Issues in Model-Based Surrogate Functions in Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000350036700001
Model-based template-recombination in Markov network estimation of distribution algorithms for problems with discrete representation,https://www.webofscience.com/wos/woscc/full-record/WOS:000380541300030
